Date,Strategy,Ticker,Weight
2021-03-01,Minimum Variance,AMZN,0.194182
2021-03-01,Minimum Variance,BRK-B,0.199456
2021-03-01,Minimum Variance,LLY,0.040488
2021-03-01,Minimum Variance,NEE,0.0
2021-04-01,Minimum Variance,AAPL,0.0
2021-04-01,Minimum Variance,MSFT,0.0
2021-04-01,Minimum Variance,GOOGL,0.0
2021-04-01,Minimum Variance,JPM,0.0
2021-04-01,Minimum Variance,JNJ,0.350154
2021-04-01,Minimum Variance,PG,0.224069
2021-04-01,Minimum Variance,XOM,0.0
2021-04-01,Minimum Variance,CAT,0.0
2021-04-01,Minimum Variance,AMZN,0.195606
2021-04-01,Minimum Variance,BRK-B,0.192444
2021-04-01,Minimum Variance,LLY,0.037727
2021-04-01,Minimum Variance,NEE,0.0
2021-05-03,Minimum Variance,AAPL,0.0
2021-05-03,Minimum Variance,MSFT,0.0
2021-05-03,Minimum Variance,GOOGL,0.0
2021-05-03,Minimum Variance,JPM,0.0
2021-05-03,Minimum Variance,JNJ,0.349725
2021-05-03,Minimum Variance,PG,0.224216
2021-05-03,Minimum Variance,XOM,0.0
2021-05-03,Minimum Variance,CAT,0.0
2021-05-03,Minimum Variance,AMZN,0.196344
2021-05-03,Minimum Variance,BRK-B,0.19158
2021-05-03,Minimum Variance,LLY,0.038135
2021-05-03,Minimum Variance,NEE,0.0
2021-06-01,Minimum Variance,AAPL,0.0
2021-06-01,Minimum Variance,MSFT,0.0
2021-06-01,Minimum Variance,GOOGL,0.0
2021-06-01,Minimum Variance,JPM,0.0
2021-06-01,Minimum Variance,JNJ,0.354756
2021-06-01,Minimum Variance,PG,0.22032
2021-06-01,Minimum Variance,XOM,0.0
2021-06-01,Minimum Variance,CAT,0.0
2021-06-01,Minimum Variance,AMZN,0.1974
2021-06-01,Minimum Variance,BRK-B,0.188902
2021-06-01,Minimum Variance,LLY,0.038622
2021-06-01,Minimum Variance,NEE,0.0
2021-07-01,Minimum Variance,AAPL,0.0
2021-07-01,Minimum Variance,MSFT,0.0
2021-07-01,Minimum Variance,GOOGL,0.0
2021-07-01,Minimum Variance,JPM,0.0
2021-07-01,Minimum Variance,JNJ,0.349106
2021-07-01,Minimum Variance,PG,0.219106
2021-07-01,Minimum Variance,XOM,0.0
2021-07-01,Minimum Variance,CAT,0.0
2021-07-01,Minimum Variance,AMZN,0.200318
2021-07-01,Minimum Variance,BRK-B,0.195508
2021-07-01,Minimum Variance,LLY,0.035962
2021-07-01,Minimum Variance,NEE,0.0
2021-08-02,Minimum Variance,AAPL,0.0
2021-08-02,Minimum Variance,MSFT,0.0
2021-08-02,Minimum Variance,GOOGL,0.0
2021-08-02,Minimum Variance,JPM,0.0
2021-08-02,Minimum Variance,JNJ,0.345337
2021-08-02,Minimum Variance,PG,0.229617
2021-08-02,Minimum Variance,XOM,0.0
2021-08-02,Minimum Variance,CAT,0.0
2021-08-02,Minimum Variance,AMZN,0.192748
2021-08-02,Minimum Variance,BRK-B,0.195593
2021-08-02,Minimum Variance,LLY,0.036705
2021-08-02,Minimum Variance,NEE,0.0
2021-09-01,Minimum Variance,AAPL,0.0
2021-09-01,Minimum Variance,MSFT,0.0
2021-09-01,Minimum Variance,GOOGL,0.0
2021-09-01,Minimum Variance,JPM,0.0
