Date,Strategy,Portfolio Value,Normalized Value,Daily Return
2021-12-27,S&P 500,1908817.78,1.957273,0.013839
2021-12-28,S&P 500,1906889.58,1.955296,-0.00101
2021-12-29,S&P 500,1909562.83,1.958037,0.001402
2021-12-30,S&P 500,1903853.71,1.952183,-0.00299
2021-12-31,S&P 500,1898853.85,1.947057,-0.002626
2022-01-03,S&P 500,1910957.24,1.959467,0.006374
2022-01-04,S&P 500,1909754.06,1.958234,-0.00063
2022-01-05,S&P 500,1872718.66,1.920258,-0.019393
2022-01-06,S&P 500,1870913.79,1.918407,-0.000964
2022-01-07,S&P 500,1863336.19,1.910637,-0.00405
2022-01-10,S&P 500,1860651.06,1.907884,-0.001441
2022-01-11,S&P 500,1877694.6,1.92536,0.00916
2022-01-12,S&P 500,1882985.48,1.930785,0.002818
2022-01-13,S&P 500,1856164.96,1.903284,-0.014244
2022-01-14,S&P 500,1857686.98,1.904845,0.00082
2022-01-18,S&P 500,1823527.93,1.869819,-0.018388
2022-01-19,S&P 500,1805858.78,1.851701,-0.00969
2022-01-20,S&P 500,1785926.83,1.831263,-0.011037
2022-01-21,S&P 500,1752146.34,1.796625,-0.018915
2022-01-24,S&P 500,1757002.84,1.801605,0.002772
2022-01-25,S&P 500,1735616.76,1.779676,-0.012172
2022-01-26,S&P 500,1733019.18,1.777012,-0.001497
2022-01-27,S&P 500,1723688.45,1.767445,-0.005384
2022-01-28,S&P 500,1765656.21,1.810478,0.024348
2022-01-31,S&P 500,1799002.3,1.84467,0.018886
2022-02-01,S&P 500,1811348.86,1.85733,0.006863
2022-02-02,S&P 500,1828416.33,1.874831,0.009423
2022-02-03,S&P 500,1783819.27,1.829102,-0.024391
2022-02-04,S&P 500,1793018.3,1.838534,0.005157
2022-02-07,S&P 500,1786381.07,1.831729,-0.003702
2022-02-08,S&P 500,1801388.82,1.847117,0.008401
2022-02-09,S&P 500,1827539.96,1.873932,0.014517
2022-02-10,S&P 500,1794432.75,1.839985,-0.018116
2022-02-11,S&P 500,1760393.34,1.805081,-0.018969
2022-02-14,S&P 500,1753632.38,1.798149,-0.003841
2022-02-15,S&P 500,1781281.41,1.8265,0.015767
2022-02-16,S&P 500,1782851.09,1.828109,0.000881
2022-02-17,S&P 500,1745102.53,1.789402,-0.021173
2022-02-18,S&P 500,1732596.85,1.776579,-0.007166
2022-02-22,S&P 500,1715023.21,1.758559,-0.010143
2022-02-23,S&P 500,1683445.99,1.726181,-0.018412
2022-02-24,S&P 500,1708625.05,1.751999,0.014957
2022-02-25,S&P 500,1746851.57,1.791196,0.022373
2022-02-28,S&P 500,1742584.71,1.786821,-0.002443
2022-03-01,S&P 500,1715620.82,1.759172,-0.015474
2022-03-02,S&P 500,1747604.61,1.791968,0.018643
2022-03-03,S&P 500,1738421.53,1.782552,-0.005255
2022-03-04,S&P 500,1724628.82,1.768409,-0.007934
